ip_first, ip_last, as_number,
2001:418:142d:100::,2001:418:142d:1ff:ffff:ffff:ffff:ffff,16625,
2001:418:142d:200::,2001:418:142e:1ff:ffff:ffff:ffff:ffff,2914,
2001:418:142e:200::,2001:418:142e:3ff:ffff:ffff:ffff:ffff,16625,
2001:418:142e:400::,2001:418:1438:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:1439::,2001:418:1439:ffff:ffff:ffff:ffff:ffff,1225,
2001:418:143a::,2001:418:143a:ff:ffff:ffff:ffff:ffff,2914,
2001:418:143a:100::,2001:418:143a:1ff:ffff:ffff:ffff:ffff,20940,
2001:418:143a:200::,2001:418:143b:ff:ffff:ffff:ffff:ffff,2914,
2001:418:143b:100::,2001:418:143b:1ff:ffff:ffff:ffff:ffff,20940,
2001:418:143b:200::,2001:418:144d:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:144e::,2001:418:144f:ffff:ffff:ffff:ffff:ffff,15562,
2001:418:1450::,2001:418:1456:9ff:ffff:ffff:ffff:ffff,2914,
2001:418:1456:a00::,2001:418:1456:aff:ffff:ffff:ffff:ffff,20940,
2001:418:1456:b00::,2001:418:1456:12ff:ffff:ffff:ffff:ffff,2914,
2001:418:1456:1300::,2001:418:1456:13ff:ffff:ffff:ffff:ffff,16625,
2001:418:1456:1400::,2001:418:1456:18ff:ffff:ffff:ffff:ffff,2914,
2001:418:1456:1900::,2001:418:1456:19ff:ffff:ffff:ffff:ffff,16625,
2001:418:1456:1a00::,2001:418:1465:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:1466::,2001:418:1466:ffff:ffff:ffff:ffff:ffff,396370,
2001:418:1467::,2001:418:1c01:0:ffff:ffff:ffff:ffff,2914,
2001:418:1c01:1::,2001:418:1c01:1:ffff:ffff:ffff:ffff,20940,
2001:418:1c01:2::,2001:418:2401:0:ffff:ffff:ffff:ffff,2914,
2001:418:2401:1::,2001:418:2401:1:ffff:ffff:ffff:ffff,20940,
2001:418:2401:2::,2001:418:3806:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:3807::,2001:418:3807:ffff:ffff:ffff:ffff:ffff,4128,
2001:418:3808::,2001:418:4004:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:4005::,2001:418:4005:ffff:ffff:ffff:ffff:ffff,1412,
2001:418:4006::,2001:418:8000:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:8001::,2001:418:8001:ffff:ffff:ffff:ffff:ffff,20940,
2001:418:8002::,2001:418:8003:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:8004::,2001:418:8005:ffff:ffff:ffff:ffff:ffff,7019,
2001:418:8006::,2001:418:8006:ffff:ffff:ffff:ffff:ffff,3927,
2001:418:8007::,2001:418:8404:0:ffff:ffff:ffff:ffff,2914,
2001:418:8404:1::,2001:418:8404:1:ffff:ffff:ffff:ffff,20940,
2001:418:8404:2::,2001:418:9806:ffff:ffff:ffff:ffff:ffff,2914,
2001:418:9807::,2001:418:9807:ffff:ffff:ffff:ffff:ffff,27435,
2001:418:9808::,2001:418:ffff:ffff:ffff:ffff:ffff:ffff,2914,
2001:420::,2001:420:fffe:ffff:ffff:ffff:ffff:ffff,109,
2001:420:ffff::,2001:420:ffff:ffff:ffff:ffff:ffff:ffff,54140,
2001:428::,2001:428:901:ffff:ffff:ffff:ffff:ffff,209,
2001:428:902::,2001:428:902:ffff:ffff:ffff:ffff:ffff,13683,
2001:428:903::,2001:428:b1f:ffff:ffff:ffff:ffff:ffff,209,
2001:428:b20::,2001:428:b20:ffff:ffff:ffff:ffff:ffff,7359,
2001:428:b21::,2001:428:b21:ffff:ffff:ffff:ffff:ffff,4015,
2001:428:b22::,2001:428:c02:5ff:ffff:ffff:ffff:ffff,209,
2001:428:c02:600::,2001:428:c02:6ff:ffff:ffff:ffff:ffff,16625,
2001:428:c02:700::,2001:428:c0b:ffff:ffff:ffff:ffff:ffff,209,
2001:428:c0c::,2001:428:c0c:ffff:ffff:ffff:ffff:ffff,19604,
2001:428:c0d::,2001:428:1002:ffff:ffff:ffff:ffff:ffff,209,
2001:428:1003::,2001:428:1003:ffff:ffff:ffff:ffff:ffff,2560,
2001:428:1004::,2001:428:1802:8:ffff:ffff:ffff:ffff,209,
2001:428:1802:9::,2001:428:1802:9:ffff:ffff:ffff:ffff,20940,
2001:428:1802:a::,2001:428:2001:204:ffff:ffff:ffff:ffff,209,
2001:428:2001:205::,2001:428:2001:205:ffff:ffff:ffff:ffff,20940,
2001:428:2001:206::,2001:428:2402:10b:ffff:ffff:ffff:ffff,209,
2001:428:2402:10c::,2001:428:2402:10c:ffff:ffff:ffff:ffff,33397,
2001:428:2402:10d::,2001:428:2500:4:ffff:ffff:ffff:ffff,209,
2001:428:2500:5::,2001:428:2500:5:ffff:ffff:ffff:ffff,102,
2001:428:2500:6::,2001:428:2500:7:ffff:ffff:ffff:ffff,11724,
2001:428:2500:8::,2001:428:2500:8:ffff:ffff:ffff:ffff,209,
2001:428:2500:9::,2001:428:2500:9:ffff:ffff:ffff:ffff,3930,
2001:428:2500:a::,2001:428:2500:b:ffff:ffff:ffff:ffff,209,
2001:428:2500:c::,2001:428:2500:c:ffff:ffff:ffff:ffff,3635,
2001:428:2500:d::,2001:428:2500:d:ffff:ffff:ffff:ffff,209,
2001:428:2500:e::,2001:428:2500:e:ffff:ffff:ffff:ffff,6223,
2001:428:2500:f::,2001:428:2500:11:ffff:ffff:ffff:ffff,209,
2001:428:2500:12::,2001:428:2500:12:ffff:ffff:ffff:ffff,21617,
2001:428:2500:13::,2001:428:2500:13:ffff:ffff:ffff:ffff,209,
2001:428:2500:14::,2001:428:2500:14:ffff:ffff:ffff:ffff,36281,
2001:428:2500:15::,2001:428:2500:16:ffff:ffff:ffff:ffff,209,
2001:428:2500:17::,2001:428:2500:17:ffff:ffff:ffff:ffff,7764,
2001:428:2500:18::,2001:428:2500:18:ffff:ffff:ffff:ffff,6223,
2001:428:2500:19::,2001:428:2500:19:ffff:ffff:ffff:ffff,49,
2001:428:2500:1a::,2001:428:2500:1b:ffff:ffff:ffff:ffff,209,
